#Gene Level Annotation Report
#2023-11-15 03:23:36.667571
#CRAVAT version: hybrid
#Analysis done at http://www.cravat.us.
#Job Id: au198_20231114_215211
#Input file: ERR2348724.sorted.indexed.flagged_1_.vcf
#This report shows analysis results at gene level.
#The composite p-value (Stouffer's combined p-value) and composite FDR of a gene show how probable it is to get the same p-value distribution for the gene as that obtained from the input variants by chance.
#hg19 genomic.
#N/A
#For more information on CRAVAT, visit http://www.cravat.us.

HUGO symbol	Number of variants	Sequence ontology	CGC driver class	CGC inheritance	CGC tumor types somatic	CGC tumor types germline	ClinVar disease identifier	ClinVar XRef	Occurrences in COSMIC	COSMIC gene count (tissue)	Number of samples with gene mutated	GeneCards summary (from http://www.genecards.org)	PubMed article count	PubMed search term	CHASM gene score	CHASM gene p-value	CHASM gene FDR	VEST gene score (non-silent)	VEST gene p-value	VEST gene FDR	Protein 3D gene	Has a mutation in a TCGA Mutation Cluster	NCI pathway hits	NCI pathway IDs	NCI pathway names	TARGET	CGL driver class
PRIM2	2	MS							474	large_intestine(47);endometrium(10);lung(28);skin(59);autonomic_ganglia(4);kidney(11);thyroid(8);cervix(2);central_nervous_system(34);oesophagus(15);NS(3);upper_aerodigestive_tract(172);biliary_tract(1);stomach(13);soft_tissue(4);urinary_tract(3);breast(2);prostate(9);haematopoietic_and_lymphoid_tissue(18);ovary(5);bone(1);liver(25)	1	 This gene encodes the 58 kilodalton subunit of DNA primase, an enzyme that plays a key role in the replication of	1	http://www.ncbi.nlm.nih.gov/pubmed?term=PRIM2[TIAB]+AND+cancer[MH]				0.207	0.678862540899498	1	../MuPIT_Interactive?gm=chr6:57379982,chr6:57382086						
KHDRBS2	3	SY							293	large_intestine(27);endometrium(14);lung(13);skin(95);kidney(4);thyroid(1);central_nervous_system(10);oesophagus(19);NS(9);upper_aerodigestive_tract(4);biliary_tract(7);stomach(23);soft_tissue(2);urinary_tract(6);breast(5);prostate(10);pancreas(6);small_intestine(1);haematopoietic_and_lymphoid_tissue(9);ovary(6);bone(3);liver(19)	1	No GeneCards annotation	2	http://www.ncbi.nlm.nih.gov/pubmed?term=KHDRBS2[TIAB]+AND+cancer[MH]													
EYS	6	MS					C1864446	OMIM:602772	381	large_intestine(48);endometrium(21);lung(49);skin(80);kidney(7);thyroid(4);cervix(3);central_nervous_system(4);oesophagus(26);NS(7);upper_aerodigestive_tract(7);biliary_tract(10);stomach(28);soft_tissue(12);urinary_tract(3);liver(26);prostate(10);pancreas(8);salivary_gland(1);haematopoietic_and_lymphoid_tissue(9);ovary(3);bone(1);breast(14)	1	 The product of this gene contains multiple epidermal growth factor (EGF)-like and LamG domains. The protein is	2	http://www.ncbi.nlm.nih.gov/pubmed?term=EYS[TIAB]+AND+cancer[MH]				0.216	0.94246760079091	1							
ADGRB3	2	MS									1	No GeneCards annotation	0					0.122	0.71147	1	../MuPIT_Interactive?gm=chr6:68956792						
LMBRD1	1	MS					C1848578	OMIM:277380	179	large_intestine(34);endometrium(14);lung(12);skin(17);kidney(7);thyroid(1);cervix(4);testis(1);central_nervous_system(5);oesophagus(7);NS(1);upper_aerodigestive_tract(20);biliary_tract(2);stomach(12);soft_tissue(4);urinary_tract(3);breast(5);prostate(3);pancreas(5);salivary_gland(1);haematopoietic_and_lymphoid_tissue(2);ovary(3);bone(4);liver(12)	1	 This gene encodes a lysosomal membrane protein that may be involved in the transport and metabolism of cobalamin.	0					0.068	0.89535	1							
COL19A1	3	SY							575	large_intestine(50);endometrium(37);lung(61);skin(179);kidney(10);thyroid(4);cervix(10);central_nervous_system(15);oesophagus(19);NS(12);upper_aerodigestive_tract(8);biliary_tract(7);stomach(14);soft_tissue(9);urinary_tract(7);breast(25);prostate(25);pituitary(1);pancreas(11);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(11);thymus(1);ovary(9);bone(5);liver(44)	1	 This gene encodes the alpha chain of type XIX collagen, a member of the FACIT collagen family (fibril-associated	0														
COL9A1	1	MS					C1852831	OMIM:614134	437	large_intestine(38);pleura(1);endometrium(22);lung(38);skin(144);kidney(8);thyroid(4);cervix(3);central_nervous_system(3);oesophagus(8);NS(22);upper_aerodigestive_tract(5);biliary_tract(4);stomach(21);soft_tissue(12);urinary_tract(7);breast(19);prostate(7);pancreas(8);adrenal_gland(4);small_intestine(1);haematopoietic_and_lymphoid_tissue(20);ovary(8);bone(2);liver(28)	1	 This gene encodes one of the three alpha chains of type IX collagen, which is a minor (5-20%) collagen component	2	http://www.ncbi.nlm.nih.gov/pubmed?term=COL9A1[TIAB]+AND+cancer[MH]				0.067	0.89859	1							
FAM135A	1	MS							308	large_intestine(42);endometrium(33);lung(13);skin(41);kidney(10);thyroid(6);central_nervous_system(8);oesophagus(14);NS(7);upper_aerodigestive_tract(27);biliary_tract(7);stomach(17);soft_tissue(8);urinary_tract(2);liver(18);prostate(9);pancreas(9);adrenal_gland(1);salivary_gland(1);small_intestine(2);haematopoietic_and_lymphoid_tissue(8);ovary(2);bone(5);breast(18)	1	No GeneCards annotation	0					0.187	0.5543	1							
SMAP1	1	MS							110	cervix(1);large_intestine(29);stomach(13);soft_tissue(3);central_nervous_system(1);pancreas(1);haematopoietic_and_lymphoid_tissue(1);biliary_tract(1);endometrium(9);urinary_tract(2);lung(9);breast(11);skin(8);oesophagus(3);ovary(1);NS(5);prostate(6);liver(6)	1	 The protein encoded by this gene is similar to the mouse stromal membrane-associated protein-1. This similarity	4	http://www.ncbi.nlm.nih.gov/pubmed?term=SMAP1[TIAB]+AND+cancer[MH]				0.026	0.98057	1							
B3GAT2	1	SY							113	upper_aerodigestive_tract(3);thyroid(2);large_intestine(30);stomach(9);soft_tissue(5);pancreas(2);haematopoietic_and_lymphoid_tissue(3);breast(4);endometrium(5);urinary_tract(4);lung(9);bone(1);skin(10);oesophagus(8);ovary(2);NS(2);prostate(1);kidney(4);liver(9)	1	 The product of this gene is a transmembrane protein belonging to the glucuronyltransferase family, and catalyzes the  transfer of a beta-1,3 linked glucuronic acid to a terminal galactose in different glycoproteins or glycolipids  containing a Gal-beta-1-4GlcNAc or Gal-beta-1-3GlcNAc residue. The encoded protein is involved in the synthesis of the  human natural killer-1 (HNK-1) carbohydrate epitope, a sulfated trisaccharide implicated in cellular migration and  adhesion in the nervous system. (provided by RefSeq)	1	http://www.ncbi.nlm.nih.gov/pubmed?term=B3GAT2[TIAB]+AND+cancer[MH]													
OGFRL1	1	SY							122	upper_aerodigestive_tract(5);cervix(1);biliary_tract(1);stomach(10);central_nervous_system(1);liver(6);small_intestine(1);haematopoietic_and_lymphoid_tissue(4);large_intestine(34);endometrium(7);urinary_tract(4);oesophagus(8);breast(6);skin(14);lung(5);ovary(1);NS(2);prostate(6);kidney(5);pancreas(1)	1	No GeneCards annotation	0														
RIMS1	3	SY					C1863634	OMIM:603649	753	large_intestine(131);pleura(1);peritoneum(1);endometrium(53);lung(51);skin(172);meninges(1);kidney(15);thyroid(5);cervix(8);central_nervous_system(8);oesophagus(49);NS(14);autonomic_ganglia(2);upper_aerodigestive_tract(12);biliary_tract(7);stomach(51);soft_tissue(19);urinary_tract(10);breast(15);prostate(10);pancreas(27);adrenal_gland(4);small_intestine(3);haematopoietic_and_lymphoid_tissue(15);ovary(18);bone(5);liver(46)	1	 The protein encoded by this gene is a RAS gene superfamily member that regulates synaptic vesicle exocytosis. This	0														
KCNQ5	2	MS					CN371052	OMIM:617601	443	large_intestine(82);endometrium(28);lung(17);skin(117);kidney(8);thyroid(5);cervix(4);eye(1);central_nervous_system(9);oesophagus(16);NS(8);upper_aerodigestive_tract(16);biliary_tract(4);stomach(33);soft_tissue(7);urinary_tract(16);breast(20);prostate(10);pancreas(8);adrenal_gland(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(2);ovary(7);bone(3);liver(20)	1	 This gene is a member of the KCNQ potassium channel gene family that is differentially expressed in subregions of the  brain and in skeletal muscle. The protein encoded by this gene yields currents that activate slowly with  depolarization and can form heteromeric channels with the protein encoded by the KCNQ3 gene. Currents expressed from  this protein have voltage dependences and inhibitor sensitivities in common with M-currents. They are also inhibited  by M1 muscarinic receptor activation. Multiple transcript variants encoding different isoforms have been found for  this gene. (provided by RefSeq)	1	http://www.ncbi.nlm.nih.gov/pubmed?term=KCNQ5[TIAB]+AND+cancer[MH]				0.163	0.6051	1							
KHDC3L	1	MS					C0678213	OMIM:614293			1	 The protein encoded by this gene belongs to the KHDC1 family, members of which contain an atypical KH domain that	4	http://www.ncbi.nlm.nih.gov/pubmed?term=KHDC3L[TIAB]+AND+cancer[MH]				0.042	0.95749	1	../MuPIT_Interactive?gm=chr6:73363808						
OOEP	1	MS							85	upper_aerodigestive_tract(3);cervix(1);large_intestine(27);stomach(4);soft_tissue(1);central_nervous_system(3);haematopoietic_and_lymphoid_tissue(2);breast(2);biliary_tract(1);endometrium(2);kidney(2);lung(4);liver(6);skin(19);oesophagus(2);prostate(1);bone(1);pancreas(4)	1	No GeneCards annotation	0					0.057	0.92622	1	../MuPIT_Interactive?gm=chr6:73369301						
DDX43	3	MS							193	large_intestine(28);endometrium(10);lung(8);skin(43);kidney(3);thyroid(1);cervix(3);central_nervous_system(3);oesophagus(7);NS(3);upper_aerodigestive_tract(7);biliary_tract(1);stomach(11);soft_tissue(3);urinary_tract(7);liver(19);prostate(11);pancreas(9);small_intestine(1);haematopoietic_and_lymphoid_tissue(2);ovary(3);bone(2);breast(8)	1	 The protein encoded by this gene is an ATP-dependent RNA helicase in the DEAD-box family and displays	2	http://www.ncbi.nlm.nih.gov/pubmed?term=DDX43[TIAB]+AND+cancer[MH]				0.031	0.997497596824158	1							
MB21D1	4	MS							104	large_intestine(32);endometrium(6);lung(2);skin(10);kidney(2);thyroid(4);cervix(4);central_nervous_system(3);oesophagus(5);NS(1);upper_aerodigestive_tract(3);biliary_tract(3);stomach(6);soft_tissue(1);urinary_tract(5);breast(1);prostate(1);pancreas(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(3);ovary(1);liver(9)	1	No GeneCards annotation	0					0.152	0.961420918896526	1	../MuPIT_Interactive?gm=chr6:73445623						
CD109	5	MS							318	large_intestine(62);endometrium(21);lung(25);skin(43);kidney(8);thyroid(1);cervix(4);eye(1);central_nervous_system(6);oesophagus(8);NS(3);upper_aerodigestive_tract(5);biliary_tract(4);stomach(18);soft_tissue(5);urinary_tract(11);liver(32);prostate(8);pancreas(9);haematopoietic_and_lymphoid_tissue(14);ovary(9);bone(4);breast(17)	1	 This gene encodes a member of the alpha2-macroglobulin/complement superfamily. The encoded GPI-linked glycoprotein is  found on the cell surface of platelets, activated T-cells, and endothelial cells. The protein binds to and negatively  regulates signaling of transforming growth factor beta (TGF-beta). Multiple transcript variants encoding different  isoforms have been found for this gene.	17	http://www.ncbi.nlm.nih.gov/pubmed?term=CD109[TIAB]+AND+cancer[MH]				0.2	0.883120043191673	1	../MuPIT_Interactive?gm=chr6:73783709,chr6:73787286,chr6:73787429,chr6:73812224						
COL12A1	3	MS					C4225313	OMIM:616471	1013	large_intestine(203);endometrium(50);lung(71);skin(164);autonomic_ganglia(2);kidney(17);thyroid(4);cervix(8);central_nervous_system(14);oesophagus(47);parathyroid(2);NS(26);upper_aerodigestive_tract(14);biliary_tract(10);stomach(95);soft_tissue(28);urinary_tract(13);liver(91);prostate(29);pancreas(22);adrenal_gland(2);small_intestine(3);haematopoietic_and_lymphoid_tissue(40);ovary(7);bone(7);breast(44)	1	 This gene encodes the alpha chain of type XII collagen, a member of the FACIT (fibril-associated collagens with	11	http://www.ncbi.nlm.nih.gov/pubmed?term=COL12A1[TIAB]+AND+cancer[MH]				0.555	0.840481306780288	1							
SENP6	4	MS							187	large_intestine(41);endometrium(13);lung(13);skin(21);kidney(11);thyroid(1);cervix(4);oesophagus(8);NS(6);upper_aerodigestive_tract(6);biliary_tract(1);stomach(11);soft_tissue(1);urinary_tract(5);liver(15);prostate(1);pancreas(2);haematopoietic_and_lymphoid_tissue(8);thymus(1);ovary(2);bone(4);breast(12)	1	 Ubiquitin-like molecules (UBLs), such as SUMO1 (UBL1; MIM 601912), are structurally related to ubiquitin (MIM	1	http://www.ncbi.nlm.nih.gov/pubmed?term=SENP6[TIAB]+AND+cancer[MH]				0.186	0.681977877433948	1							
MYO6	1	SY					C1843028	OMIM:607821	308	large_intestine(46);endometrium(23);lung(23);skin(40);kidney(8);thyroid(3);cervix(3);central_nervous_system(5);oesophagus(11);NS(6);upper_aerodigestive_tract(7);biliary_tract(2);stomach(23);soft_tissue(5);urinary_tract(10);liver(39);prostate(11);pancreas(5);salivary_gland(1);haematopoietic_and_lymphoid_tissue(12);ovary(3);bone(3);breast(19)	1	 This gene encodes a protein involved intracellular vesicle and organelle transport, especially in the hair cell of	5	http://www.ncbi.nlm.nih.gov/pubmed?term=MYO6[TIAB]+AND+cancer[MH]													
IMPG1	2	MS					C4015342	OMIM:616151	375	large_intestine(48);pleura(1);endometrium(18);lung(27);skin(118);kidney(7);thyroid(3);cervix(3);central_nervous_system(6);oesophagus(13);NS(13);upper_aerodigestive_tract(6);biliary_tract(2);stomach(17);soft_tissue(5);urinary_tract(5);liver(25);prostate(13);pancreas(9);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(14);ovary(7);bone(3);breast(11)	1	 This gene encodes a protein that is a major component of the retinal interphotoreceptor matrix. The encoded	1	http://www.ncbi.nlm.nih.gov/pubmed?term=IMPG1[TIAB]+AND+cancer[MH]				0.03	0.997621201450643	1							
HTR1B	2	SY							165	large_intestine(24);endometrium(10);lung(13);skin(20);autonomic_ganglia(1);kidney(1);thyroid(1);cervix(2);central_nervous_system(4);oesophagus(19);NS(2);upper_aerodigestive_tract(6);biliary_tract(2);stomach(16);soft_tissue(9);urinary_tract(1);liver(10);prostate(4);pancreas(5);haematopoietic_and_lymphoid_tissue(3);bone(1);breast(11)	1	 The neurotransmitter serotonin (5-hydroxytryptamine; 5-HT) exerts a wide variety of physiologic functions through	7	http://www.ncbi.nlm.nih.gov/pubmed?term=HTR1B[TIAB]+AND+cancer[MH]													
IRAK1BP1	1	SY							55	upper_aerodigestive_tract(2);adrenal_gland(1);large_intestine(10);stomach(3);cervix(2);haematopoietic_and_lymphoid_tissue(3);breast(4);endometrium(5);urinary_tract(2);oesophagus(3);liver(1);skin(7);lung(4);NS(1);prostate(1);thyroid(1);kidney(4);pancreas(1)	1	No GeneCards annotation	0														
PHIP	6	MS							368	large_intestine(85);endometrium(41);lung(22);skin(40);kidney(8);thyroid(1);cervix(1);central_nervous_system(4);genital_tract(2);oesophagus(10);NS(4);upper_aerodigestive_tract(15);biliary_tract(1);stomach(23);soft_tissue(4);urinary_tract(6);liver(23);prostate(19);pancreas(8);haematopoietic_and_lymphoid_tissue(26);ovary(4);bone(5);breast(16)	1	 PHIP binds the pleckstrin homology (PH) domain of insulin receptor substrate-1 (IRS1; MIM 147545), modulates	329	http://www.ncbi.nlm.nih.gov/pubmed?term=PHIP[TIAB]+AND+cancer[MH]				0.039	0.996695908341176	1							
LCA5	1	MS					C1858301	OMIM:604537	179	upper_aerodigestive_tract(3);cervix(2);large_intestine(37);stomach(10);soft_tissue(3);liver(22);haematopoietic_and_lymphoid_tissue(8);endometrium(14);urinary_tract(3);oesophagus(2);breast(4);skin(39);lung(13);ovary(1);NS(4);prostate(9);thyroid(2);kidney(2);pancreas(1)	1	 This gene encodes a protein that is thought to be involved in centrosomal or ciliary functions. Mutations in this	0					0.102	0.77796	1							
TTK	1	MS							262	large_intestine(83);pleura(1);endometrium(22);lung(17);skin(18);kidney(4);thyroid(1);cervix(2);central_nervous_system(7);oesophagus(5);NS(6);upper_aerodigestive_tract(2);biliary_tract(3);stomach(34);soft_tissue(9);urinary_tract(2);breast(2);prostate(6);pancreas(4);salivary_gland(1);haematopoietic_and_lymphoid_tissue(8);ovary(8);bone(1);liver(16)	1	 This gene encodes a dual specificity protein kinase with the ability to phosphorylate tyrosine, serine and	50	http://www.ncbi.nlm.nih.gov/pubmed?term=TTK[TIAB]+AND+cancer[MH]				0.025	0.98158	1							
FAM46A	3	II							130	upper_aerodigestive_tract(13);thyroid(8);large_intestine(32);stomach(7);soft_tissue(6);liver(5);cervix(1);haematopoietic_and_lymphoid_tissue(1);biliary_tract(1);endometrium(5);urinary_tract(4);oesophagus(4);breast(7);skin(12);lung(7);ovary(2);prostate(5);bone(2);kidney(4);pancreas(4)	1	No GeneCards annotation	3	http://www.ncbi.nlm.nih.gov/pubmed?term=FAM46A[TIAB]+AND+cancer[MH]				0.07	0.739892357059862	1	../MuPIT_Interactive?gm=chr6:81752011						
IBTK	2	MS							254	large_intestine(41);endometrium(32);lung(21);skin(30);autonomic_ganglia(1);kidney(9);cervix(3);central_nervous_system(4);oesophagus(10);NS(2);upper_aerodigestive_tract(6);biliary_tract(5);stomach(22);soft_tissue(6);urinary_tract(6);breast(7);prostate(9);pancreas(10);haematopoietic_and_lymphoid_tissue(8);ovary(3);bone(3);liver(16)	1	 The protein encoded by this gene binds to Bruton's tyrosine kinase (BTK) and downregulates BTK's kinase activity.	1	http://www.ncbi.nlm.nih.gov/pubmed?term=IBTK[TIAB]+AND+cancer[MH]				0.016	0.9915	1							
TPBG	1	SY							98	large_intestine(20);pleura(1);endometrium(2);lung(4);skin(4);autonomic_ganglia(1);kidney(1);thyroid(1);cervix(1);central_nervous_system(9);oesophagus(2);NS(6);upper_aerodigestive_tract(2);biliary_tract(1);stomach(9);soft_tissue(1);urinary_tract(4);liver(12);prostate(5);pancreas(1);haematopoietic_and_lymphoid_tissue(5);ovary(4);breast(2)	1	 This gene encodes a leucine-rich transmembrane glycoprotein that may be involved in cell adhesion. The encoded	1	http://www.ncbi.nlm.nih.gov/pubmed?term=TPBG[TIAB]+AND+cancer[MH]													
PGM3	2	MS					C4014371	OMIM:615816	120	upper_aerodigestive_tract(12);cervix(1);large_intestine(13);stomach(14);soft_tissue(8);central_nervous_system(2);autonomic_ganglia(2);haematopoietic_and_lymphoid_tissue(3);liver(13);endometrium(7);oesophagus(2);breast(4);skin(7);lung(2);ovary(1);NS(1);prostate(15);thyroid(4);kidney(3);pancreas(6)	1	No GeneCards annotation	5	http://www.ncbi.nlm.nih.gov/pubmed?term=PGM3[TIAB]+AND+cancer[MH]				0.175	0.58	1	../MuPIT_Interactive?gm=chr6:83170448						
ME1	1	SY							196	large_intestine(22);endometrium(17);lung(8);skin(73);kidney(1);thyroid(1);cervix(1);central_nervous_system(3);oesophagus(5);NS(8);upper_aerodigestive_tract(6);biliary_tract(2);stomach(4);soft_tissue(1);urinary_tract(2);breast(6);prostate(9);pancreas(8);haematopoietic_and_lymphoid_tissue(7);ovary(3);bone(1);liver(8)	1	 This gene encodes a cytosolic, NADP-dependent enzyme that generates NADPH for fatty acid biosynthesis. The	30	http://www.ncbi.nlm.nih.gov/pubmed?term=ME1[TIAB]+AND+cancer[MH]													
PRSS35	1	MS							209	upper_aerodigestive_tract(4);cervix(1);large_intestine(32);stomach(12);soft_tissue(6);central_nervous_system(8);pancreas(2);autonomic_ganglia(1);haematopoietic_and_lymphoid_tissue(7);endometrium(8);urinary_tract(3);lung(11);breast(10);skin(70);oesophagus(3);ovary(5);NS(10);prostate(3);thyroid(1);kidney(4);liver(8)	1	No GeneCards annotation	0					0.039	0.96377	1	../MuPIT_Interactive?gm=chr6:83524112						
TBX18	1	MS					C0020179	OMIM:143100;SNOMED CT:Huntington's chorea	318	large_intestine(37);endometrium(12);lung(32);skin(72);autonomic_ganglia(1);kidney(8);thyroid(5);cervix(4);central_nervous_system(3);oesophagus(22);NS(10);upper_aerodigestive_tract(3);biliary_tract(2);stomach(27);soft_tissue(8);breast(12);prostate(20);pancreas(9);adrenal_gland(1);salivary_gland(1);haematopoietic_and_lymphoid_tissue(6);ovary(4);liver(19)	1	No GeneCards annotation	2	http://www.ncbi.nlm.nih.gov/pubmed?term=TBX18[TIAB]+AND+cancer[MH]				0.032	0.97348	1							
NT5E	1	MS					C1859372	OMIM:211800	117	upper_aerodigestive_tract(2);adrenal_gland(1);large_intestine(7);stomach(4);soft_tissue(7);central_nervous_system(5);pancreas(2);endometrium(6);urinary_tract(3);cervix(2);lung(14);breast(7);parathyroid(1);skin(28);oesophagus(7);ovary(3);NS(4);prostate(1);thyroid(1);liver(12)	1	 The protein encoded by this gene is a plasma membrane protein that catalyzes the conversion of extracellular	10	http://www.ncbi.nlm.nih.gov/pubmed?term=NT5E[TIAB]+AND+cancer[MH]				0.05	0.94383	1	../MuPIT_Interactive?gm=chr6:85489515						
ZNF292	6	MS							538	large_intestine(115);endometrium(62);lung(24);skin(52);autonomic_ganglia(5);kidney(12);thyroid(5);cervix(5);central_nervous_system(7);oesophagus(19);NS(11);upper_aerodigestive_tract(13);biliary_tract(10);stomach(35);soft_tissue(6);urinary_tract(8);breast(37);prostate(21);pancreas(16);adrenal_gland(1);salivary_gland(2);haematopoietic_and_lymphoid_tissue(29);ovary(4);bone(3);liver(36)	1	No GeneCards annotation	2	http://www.ncbi.nlm.nih.gov/pubmed?term=ZNF292[TIAB]+AND+cancer[MH]				0.63	0.853184191814388	1							
GJB7	2	MS							74	upper_aerodigestive_tract(1);large_intestine(20);stomach(3);central_nervous_system(1);pancreas(1);haematopoietic_and_lymphoid_tissue(2);endometrium(9);urinary_tract(5);lung(6);breast(4);skin(11);autonomic_ganglia(1);NS(3);prostate(3);kidney(1);liver(3)	1	 Connexins, such as GJB7, are involved in the formation of gap junctions, intercellular conduits that directly	0					0.029	0.999703759505236	1	../MuPIT_Interactive?gm=chr6:87284854						
SMIM8	1	SY									1	No GeneCards annotation	0														
CFAP206	3	MS									1	No GeneCards annotation	0					0.057	0.997454645765208	1							
AKIRIN2	1	MS							42	thyroid(1);cervix(1);large_intestine(8);stomach(6);liver(2);haematopoietic_and_lymphoid_tissue(11);kidney(1);biliary_tract(1);endometrium(4);oesophagus(1);breast(2);bone(1);pancreas(3)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=AKIRIN2[TIAB]+AND+cancer[TIAB]				0.131	0.68465	1							
CNR1	1	SY							239	large_intestine(35);endometrium(17);lung(19);skin(65);kidney(3);thyroid(3);cervix(1);central_nervous_system(1);oesophagus(8);NS(7);upper_aerodigestive_tract(4);biliary_tract(4);stomach(22);soft_tissue(4);urinary_tract(2);liver(20);prostate(10);pancreas(2);small_intestine(1);haematopoietic_and_lymphoid_tissue(3);ovary(4);breast(4)	1	 This gene encodes one of two cannabinoid receptors. The cannabinoids, principally delta-9-tetrahydrocannabinol and  synthetic analogs, are psychoactive ingredients of marijuana. The cannabinoid receptors are members of the  guanine-nucleotide-binding protein (G-protein) coupled receptor family, which inhibit adenylate cyclase activity in a  dose-dependent, stereoselective and pertussis toxin-sensitive manner. The two receptors have been found to be involved  in the cannabinoid-induced CNS effects (including alterations in mood and cognition) experienced by users of  marijuana. Multiple transcript variants encoding two different protein isoforms have been described for this gene.  (provided by RefSeq)	11	http://www.ncbi.nlm.nih.gov/pubmed?term=CNR1[TIAB]+AND+cancer[MH]													
PNRC1	1	SY							67	upper_aerodigestive_tract(1);cervix(3);large_intestine(20);stomach(4);soft_tissue(13);central_nervous_system(1);endometrium(2);urinary_tract(1);oesophagus(2);liver(1);skin(4);lung(7);thyroid(1);kidney(4);breast(3)	1	No GeneCards annotation	0														
GABRR1	2	SY							154	large_intestine(35);endometrium(7);lung(11);skin(28);kidney(4);thyroid(1);cervix(3);central_nervous_system(1);oesophagus(6);NS(4);upper_aerodigestive_tract(3);biliary_tract(1);stomach(9);soft_tissue(2);urinary_tract(5);breast(7);prostate(3);pancreas(5);small_intestine(1);haematopoietic_and_lymphoid_tissue(9);bone(1);liver(8)	1	 GABA is the major inhibitory neurotransmitter in the mammalian brain where it acts at GABA receptors, which are	1	http://www.ncbi.nlm.nih.gov/pubmed?term=GABRR1[TIAB]+AND+cancer[MH]													
GABRR2	1	SY							108	large_intestine(26);endometrium(4);lung(9);skin(14);autonomic_ganglia(1);kidney(1);thyroid(1);cervix(1);central_nervous_system(3);oesophagus(5);NS(3);upper_aerodigestive_tract(2);biliary_tract(1);stomach(6);soft_tissue(5);urinary_tract(2);liver(7);prostate(5);pancreas(6);haematopoietic_and_lymphoid_tissue(4);ovary(1);bone(1)	1	 GABA is the major inhibitory neurotransmitter in the mammalian brain where it acts at GABA receptors, which are	0														
UBE2J1	1	MS							50	adrenal_gland(1);large_intestine(10);stomach(3);haematopoietic_and_lymphoid_tissue(1);pancreas(4);urinary_tract(6);lung(3);breast(4);endometrium(4);skin(4);oesophagus(2);NS(2);kidney(2);liver(4)	1	 The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or	0					0.007	0.99686	1							
ANKRD6	4	MS							150	thyroid(3);cervix(2);large_intestine(34);stomach(12);soft_tissue(2);central_nervous_system(4);upper_aerodigestive_tract(3);haematopoietic_and_lymphoid_tissue(8);breast(9);biliary_tract(3);endometrium(11);urinary_tract(5);lung(9);liver(5);skin(14);oesophagus(3);ovary(3);NS(6);prostate(4);bone(3);pancreas(7)	1	No GeneCards annotation	2	http://www.ncbi.nlm.nih.gov/pubmed?term=ANKRD6[TIAB]+AND+cancer[MH]				0.098	0.79101	1	../MuPIT_Interactive?gm=chr6:89606070						
MDN1	8	MS							1123	large_intestine(225);pleura(1);endometrium(83);lung(82);skin(140);autonomic_ganglia(4);kidney(32);thyroid(14);cervix(21);testis(2);central_nervous_system(12);genital_tract(1);oesophagus(45);NS(21);upper_aerodigestive_tract(24);biliary_tract(8);stomach(101);soft_tissue(12);urinary_tract(26);liver(85);prostate(25);pancreas(24);adrenal_gland(2);salivary_gland(2);small_intestine(3);haematopoietic_and_lymphoid_tissue(21);ovary(20);bone(12);breast(75)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=MDN1[TIAB]+AND+cancer[TIAB]				0.102	0.987004710030348	1							
EPHA7	3	SY							681	large_intestine(66);endometrium(20);lung(51);skin(247);meninges(1);kidney(11);thyroid(2);cervix(3);central_nervous_system(14);oesophagus(28);NS(18);upper_aerodigestive_tract(31);biliary_tract(6);stomach(23);soft_tissue(20);urinary_tract(3);breast(13);prostate(10);pancreas(14);haematopoietic_and_lymphoid_tissue(29);ovary(10);bone(6);liver(55)	1	 This gene belongs to the ephrin receptor subfamily of the protein-tyrosine kinase family. EPH and EPH-related	30	http://www.ncbi.nlm.nih.gov/pubmed?term=EPHA7[TIAB]+AND+cancer[MH]													
MANEA	4	FI							127	upper_aerodigestive_tract(1);cervix(1);large_intestine(21);stomach(13);central_nervous_system(4);small_intestine(1);haematopoietic_and_lymphoid_tissue(3);kidney(4);biliary_tract(1);endometrium(10);urinary_tract(2);oesophagus(6);liver(5);skin(19);lung(14);ovary(3);NS(3);prostate(4);bone(1);breast(5);pancreas(6)	1	 N-glycosylation of proteins is initiated in the endoplasmic reticulum (ER) by the transfer of the preassembled	1	http://www.ncbi.nlm.nih.gov/pubmed?term=MANEA[TIAB]+AND+cancer[MH]				0.37	0.451671259790439	1	../MuPIT_Interactive?gm=chr6:95606046						
FUT9	1	MS							223	upper_aerodigestive_tract(13);cervix(2);large_intestine(23);stomach(7);soft_tissue(1);kidney(1);prostate(2);haematopoietic_and_lymphoid_tissue(6);endometrium(11);urinary_tract(1);oesophagus(6);liver(11);skin(101);central_nervous_system(2);lung(18);ovary(2);NS(10);autonomic_ganglia(1);thyroid(1);breast(3);pancreas(1)	1	 The protein encoded by this gene belongs to the glycosyltransferase family. It is localized to the golgi, and	2	http://www.ncbi.nlm.nih.gov/pubmed?term=FUT9[TIAB]+AND+cancer[MH]				0.02	0.98755	1							
UFL1	1	SY									1	No GeneCards annotation	0														
